date,amount,price,sid,symbol,value
2019-02-15 23:59:59.999989+00:00,-100,121.45,0,ETH-USD,12145.0
2019-02-16 23:59:59.999989+00:00,100,122.4,0,ETH-USD,-12240.0
2019-02-17 23:59:59.999989+00:00,-100,123.18,0,ETH-USD,12318.0
2019-02-18 23:59:59.999989+00:00,100,133.03,0,ETH-USD,-13303.0
2019-03-04 23:59:59.999989+00:00,-100,132.16,0,ETH-USD,13216.0
2019-03-05 23:59:59.999989+00:00,100,127.79,0,ETH-USD,-12779.0
2019-03-06 23:59:59.999989+00:00,-100,137.96,0,ETH-USD,13796.0
2019-03-07 23:59:59.999989+00:00,100,138.94,0,ETH-USD,-13894.0
2019-03-08 23:59:59.999989+00:00,-100,138.31,0,ETH-USD,13831.0
2019-03-09 23:59:59.999989+00:00,100,134.89,0,ETH-USD,-13488.999999999998
2019-03-10 23:59:59.999989+00:00,-100,138.18,0,ETH-USD,13818.0
2019-03-11 23:59:59.999989+00:00,100,136.85,0,ETH-USD,-13685.0
2019-03-12 23:59:59.999989+00:00,-100,134.01,0,ETH-USD,13401.0
2019-03-13 23:59:59.999989+00:00,100,134.61,0,ETH-USD,-13461.000000000002
2019-03-14 23:59:59.999989+00:00,-100,133.2,0,ETH-USD,13319.999999999998
2019-03-15 23:59:59.999989+00:00,100,133.57,0,ETH-USD,-13357.0
2019-03-16 23:59:59.999989+00:00,-100,137.91,0,ETH-USD,13791.0
2019-03-17 23:59:59.999989+00:00,100,142.24,0,ETH-USD,-14224.0
2019-03-25 23:59:59.999989+00:00,-100,137.08,0,ETH-USD,13708.000000000002
2019-03-26 23:59:59.999989+00:00,100,135.05,0,ETH-USD,-13505.000000000002
2019-03-27 23:59:59.999989+00:00,-100,135.45,0,ETH-USD,13544.999999999998
2019-03-28 23:59:59.999989+00:00,100,141.01,0,ETH-USD,-14101.0
2019-03-29 23:59:59.999989+00:00,-100,139.34,0,ETH-USD,13934.0
2019-03-30 23:59:59.999989+00:00,100,142.36,0,ETH-USD,-14236.000000000002
2019-03-31 23:59:59.999989+00:00,-100,142.14,0,ETH-USD,14213.999999999998
2019-04-01 23:59:59.999989+00:00,100,141.47,0,ETH-USD,-14147.0
2019-04-02 23:59:59.999989+00:00,100,141.84,0,ETH-USD,-14184.0
2019-04-03 23:59:59.999989+00:00,-100,164.01,0,ETH-USD,16401.0
2019-04-04 23:59:59.999989+00:00,100,161.43,0,ETH-USD,-16143.0
2019-04-05 23:59:59.999989+00:00,-100,158.02,0,ETH-USD,15802.000000000002
2019-04-22 23:59:59.999989+00:00,-100,170.02,0,ETH-USD,17002.0
2019-04-23 23:59:59.999989+00:00,100,172.01,0,ETH-USD,-17201.0
2019-04-24 23:59:59.999989+00:00,-100,171.35,0,ETH-USD,17135.0
2019-04-25 23:59:59.999989+00:00,100,165.91,0,ETH-USD,-16591.0
2019-04-26 23:59:59.999989+00:00,-100,154.58,0,ETH-USD,15458.000000000002
2019-04-27 23:59:59.999989+00:00,100,156.27,0,ETH-USD,-15627.000000000002
2019-04-28 23:59:59.999989+00:00,-100,158.5,0,ETH-USD,15850.0
2019-04-29 23:59:59.999989+00:00,100,157.29,0,ETH-USD,-15729.0
2019-07-29 23:59:59.999989+00:00,-100,211.12,0,ETH-USD,21112.0
2019-07-30 23:59:59.999989+00:00,100,211.34,0,ETH-USD,-21134.0
2019-07-31 23:59:59.999989+00:00,-100,210.49,0,ETH-USD,21049.0
2019-08-01 23:59:59.999989+00:00,100,218.55,0,ETH-USD,-21855.0
2019-08-02 23:59:59.999989+00:00,-100,217.88,0,ETH-USD,21788.0
2019-08-03 23:59:59.999989+00:00,100,217.9,0,ETH-USD,-21790.0
2019-08-04 23:59:59.999989+00:00,-100,222.58,0,ETH-USD,22258.0
2019-08-05 23:59:59.999989+00:00,100,222.65,0,ETH-USD,-22265.0
