DateTime,Close,Open,High,Low,Volume
12:30 23.05.22,1818.6,1818.6,1819.6,1817.6,155
12:35 23.05.22,1821.6,1818.6,1821.6,1818.6,238
12:40 23.05.22,1823.6,1821.7,1823.7,1821.6,635
12:45 23.05.22,1826.6,1823.7,1826.6,1823.6,427
12:50 23.05.22,1826.7,1826.6,1826.7,1824.6,468
12:55 23.05.22,1827.6,1826.7,1828.6,1826.6,370
13:00 23.05.22,1827.6,1826.7,1827.6,1826.7,349
13:05 23.05.22,1826.6,1827.6,1827.6,1826.6,267
13:10 23.05.22,1826.7,1826.6,1827.7,1826.6,382
13:15 23.05.22,1826.7,1826.6,1827.7,1826.6,227
13:20 23.05.22,1825.7,1827.7,1828.6,1825.6,389
13:25 23.05.22,1827.6,1825.7,1827.7,1825.7,336
13:30 23.05.22,1825.7,1826.7,1827.6,1825.6,266
13:35 23.05.22,1825.6,1825.6,1825.6,1825.6,31
13:40 23.05.22,1826.6,1825.6,1828.6,1825.6,571
13:45 23.05.22,1827.6,1826.6,1827.6,1825.6,343
13:50 23.05.22,1828.6,1827.6,1828.6,1827.6,334
13:55 23.05.22,1827.7,1828.6,1828.6,1826.6,340
14:00 23.05.22,1829.6,1828.6,1830.6,1827.6,390
14:05 23.05.22,1832.6,1829.6,1833.6,1829.6,738
14:10 23.05.22,1834.7,1831.7,1835.6,1831.6,515
14:15 23.05.22,1834.7,1834.7,1835.6,1832.6,467
14:20 23.05.22,1833.6,1835.6,1837.6,1832.6,577
14:25 23.05.22,1833.7,1833.6,1834.6,1832.6,396
14:30 23.05.22,1831.7,1833.7,1833.7,1831.7,390
14:35 23.05.22,1835.6,1832.6,1835.6,1832.6,385
14:40 23.05.22,1831.6,1834.6,1834.6,1831.6,456
14:45 23.05.22,1830.7,1831.6,1832.7,1830.6,408
14:50 23.05.22,1830.6,1831.6,1831.6,1830.6,280
14:55 23.05.22,1828.7,1829.7,1830.6,1828.6,482
15:00 23.05.22,1832.6,1828.7,1832.6,1828.7,352
15:05 23.05.22,1833.6,1832.6,1835.6,1832.6,403
15:10 23.05.22,1833.7,1833.6,1833.7,1832.6,191
15:15 23.05.22,1833.7,1833.7,1834.6,1833.6,368
15:20 23.05.22,1830.6,1832.7,1833.6,1830.6,394
15:25 23.05.22,1829.6,1830.6,1830.6,1828.6,395
15:30 23.05.22,1827.7,1829.6,1830.6,1826.6,1046
15:35 23.05.22,1824.7,1827.7,1827.7,1824.6,847
