Date,Open,High,Low,Close,Adj Close,Volume
2017-08-28,104.050003,106.949997,99.050003,101.849998,96.383476,779835
2017-08-29,100.000000,101.000000,98.150002,100.000000,94.632767,580654
2017-08-30,100.000000,104.949997,99.980003,104.750000,99.127823,660479
2017-08-31,105.000000,107.349998,101.000000,104.000000,98.418076,714187
2017-09-01,103.000000,105.099998,101.650002,105.000000,99.364410,306104
2017-09-04,103.900002,104.650002,102.150002,104.000000,98.418076,185555
2017-09-05,104.000000,106.849998,102.800003,103.349998,97.802963,272741
2017-09-06,104.199997,105.849998,104.199997,105.000000,99.364410,280009
2017-09-07,105.000000,107.000000,104.650002,106.949997,101.209740,390214
2017-09-08,106.000000,106.949997,103.000000,103.500000,97.944916,432843
2017-09-11,104.400002,105.000000,104.050003,104.050003,98.465401,241207
2017-09-12,104.050003,106.500000,102.449997,104.900002,99.269775,269428
2017-09-13,105.000000,105.900002,104.500000,105.000000,99.364410,186069
2017-09-14,104.750000,104.750000,102.800003,103.900002,98.323448,298668
2017-09-15,102.900002,104.000000,101.500000,104.000000,98.418076,655352
2017-09-18,104.900002,105.000000,98.349998,99.400002,94.064972,352485
2017-09-19,96.000000,100.400002,93.099998,99.000000,93.686440,303714
2017-09-20,99.099998,102.349998,99.099998,102.000000,96.525421,432922
2017-09-21,101.000000,101.849998,96.300003,98.599998,93.307907,528643
2017-09-22,97.480003,97.480003,94.150002,94.400002,89.333336,365449
2017-09-25,94.449997,94.449997,90.150002,91.309998,86.409180,439758
2017-09-26,91.099998,93.809998,90.800003,91.660004,86.740402,362682
2017-09-27,92.129997,94.489998,92.000000,93.300003,88.292374,242626
2017-09-28,92.620003,96.000000,92.620003,96.000000,90.847458,338667
2017-09-29,96.989998,97.419998,95.099998,96.470001,91.292236,330802
2017-10-02,96.699997,99.500000,96.699997,99.400002,94.064972,205646
2017-10-03,99.750000,100.900002,97.459999,97.870003,92.617096,183290
2017-10-04,98.500000,98.900002,93.110001,93.519997,88.500565,289034
2017-10-05,94.550003,95.699997,93.050003,95.000000,89.901131,240636
2017-10-06,95.709999,95.860001,94.510002,95.250000,90.137711,164150
2017-10-09,95.349998,99.949997,95.349998,99.900002,94.538139,141602
2017-10-10,100.199997,101.550003,97.540001,98.309998,93.033470,268929
2017-10-11,98.400002,101.500000,98.400002,101.500000,96.052261,450230
2017-10-12,102.000000,102.699997,100.099998,100.699997,95.295197,464282
2017-10-13,103.000000,103.000000,99.599998,100.599998,95.200562,284344
2017-10-16,101.300003,102.349998,99.000000,100.199997,94.822029,202933
2017-10-17,99.050003,100.199997,99.050003,99.800003,94.443504,93701
2017-10-18,100.000000,100.300003,99.260002,99.500000,94.159607,136488
2017-10-19,99.400002,100.000000,97.849998,99.500000,94.159607,344049
2017-10-20,99.199997,102.000000,99.199997,101.500000,96.052261,295688
2017-10-23,101.849998,101.849998,99.989998,100.250000,94.869354,188880
2017-10-24,100.250000,100.849998,96.300003,97.099998,91.888420,281033
2017-10-25,97.099998,98.889999,97.099998,98.750000,93.449860,142651
2017-10-26,99.000000,99.000000,96.699997,97.300003,92.077690,337904
2017-10-27,97.000000,98.690002,96.500000,97.699997,92.456215,85352
2017-10-30,98.000000,98.800003,97.769997,98.599998,93.307907,112435
2017-10-31,99.000000,99.000000,96.849998,97.900002,92.645485,141286
2017-11-01,97.900002,97.900002,97.900002,97.900002,92.645485,0
2017-11-02,98.000000,100.000000,98.000000,99.989998,94.623306,177425
2017-11-03,99.989998,99.989998,97.889999,97.900002,92.645485,130326
2017-11-06,97.900002,98.989998,96.709999,97.290001,92.068222,119990
2017-11-07,97.000000,98.389999,97.000000,97.250000,92.030365,133895
2017-11-08,97.889999,98.169998,96.000000,96.000000,90.847458,125280
2017-11-09,96.000000,96.000000,92.809998,93.250000,88.245056,215366
2017-11-10,93.019997,96.489998,91.599998,96.300003,91.131355,319682
2017-11-13,96.309998,97.279999,96.000000,97.000000,91.793785,103942
2017-11-14,97.480003,97.660004,96.599998,97.099998,91.888420,138013
2017-11-15,96.000000,96.349998,93.029999,93.559998,88.538414,203825
2017-11-16,93.870003,94.599998,91.489998,93.500000,88.481636,245228
2017-11-17,86.099998,91.750000,84.629997,90.989998,86.106354,993362
2017-11-20,90.699997,93.440002,90.500000,93.099998,88.103104,143172
2017-11-21,93.250000,95.290001,93.250000,95.290001,90.175568,287297
2017-11-22,95.370003,96.099998,93.400002,94.349998,89.286018,209880
2017-11-23,93.699997,95.300003,92.150002,92.440002,87.478531,143278
2017-11-24,93.099998,94.449997,93.070000,93.320000,88.311302,111326
2017-11-27,93.000000,93.190002,91.699997,92.150002,87.204094,113117
2017-11-28,91.750000,91.750000,88.500000,90.150002,85.311440,256571
2017-11-29,90.160004,91.339996,89.550003,90.400002,85.548027,132881
2017-11-30,90.879997,91.669998,89.269997,89.410004,84.611160,448416
2017-12-01,90.500000,91.000000,87.720001,90.440002,85.585876,172729
2017-12-04,90.650002,95.949997,90.010002,95.919998,90.771751,360971
2017-12-05,95.750000,95.900002,92.209999,93.279999,88.273445,227634
